pmid,doctor
12124173,['James D. Griffin']
12124177,['James D. Griffin']
12124833,"['Jeffrey Myers', 'Bonnie S. Glisson']"
12124835,"['Frank V. Fossella', 'Bonnie S. Glisson', 'Charles Lu', 'Roy S. Herbst']"
12124836,"['Paul F. Mansfield', 'Jeffrey E. Gershenwald']"
12124838,"['Matthew T. Ballo', 'Shreyaskumar Patel']"
12126507,['Yuan Yuan']
12127724,['Robert Z. Orlowski']
12127961,['Gabriel Lopez-Berestein']
12128123,['Jack A. Roth']
12128124,"['George H. Perkins', 'Gabriel N. Hortobagyi', 'Vicente Valero', 'Kelly Hunt']"
12130488,['Hagop M. Kantarjian']
12131088,"['Steven M. Larson', 'Jose G. Guillem', 'Philip Paty']"
12131153,"['Martin R. Weiser', 'Jose G. Guillem', 'Philip Paty']"
12131305,['Katherine A. Harris']
12131429,['Evanthia Galanis']
12132736,['Prasad S. Adusumilli']
12133274,['Richard J. Wong']
12134369,['Steven M. Larson']
12138396,"['Jennifer A. Ligibel', 'Eric P. Winer']"
12138397,['Edith A. Perez']
12138400,['Gabriel Lopez-Berestein']
12138402,['Douglas Yee']
12138408,['Gabriel N. Hortobagyi']
12139635,['Craig L. Slingluff']
12142558,['Vivek Roy']
12142560,['Michael B. Atkins']
12142791,['Elaine Morgan']
12145056,"['Alexandra S. Heerdt', 'Kimberly J. Van Zee']"
12145312,['Isaac Yi Kim']
12145531,['Todd L. Demmy']
12149051,['Michael S. Simon']
12149200,['Alessandra Ferrajoli']
12149202,['Richard A. Larson']
