pmid,HGNC
12528773,BCR
12528773,ABL1
12528773,KIT
12529460,CTLA4
12530022,PTEN
12531799,RB1
12532415,CBL
12532415,EGFR
12532415,ERBB2
12532415,AKT1
12533739,CTLA4
12538456,FANCA
12538461,REST
12538464,BCR
12538464,NR4A3
12538464,ABL1
12538479,VEGFA
12538492,ACTG1
12538503,CYP19A1
12538684,CTLA4
12538684,APC
12539223,AR
12543774,PTEN
12543774,AKT1
12543780,INSR
12545153,VEGFA
12548600,FH
12548613,ESR1
12548613,ABL1
12548613,CTLA4
12560227,ESR1
12560227,BCR
12560427,EGFR
12563615,PGR
12563615,BCR
12563615,VEGFA
12563615,ABL1
12563615,NR4A3
12563615,HLA-C
12563615,ACTG1
12564867,DNMT1
12566306,ESR1
12566306,IGF1
12569142,RARA
12569361,PTEN
12569361,AKT1
12569594,VEGFA
12569594,EGFR
12569594,CTLA4
12569603,BCR
12569614,CALR
12575775,INSR
12576334,BCR
12576334,ABL1
12576334,CTLA4
12576418,NR4A3
12576418,AR
12576424,ERBB2
12576431,NTRK1
12576458,EGFR
12576458,ERBB2
12579196,MET
12579196,CTLA4
12584750,NFKBIA
12588694,FAT1
12588801,CTCF
12588801,IGF1
12591721,BRAF
12591919,PPARG
12594313,MET
12594815,VEGFA
12594815,KDR
12595050,APC
12597935,HGF
12599224,NR4A3
12599230,VEGFA
12599232,BCR
12600231,EGFR
12600231,PTEN
12600231,FANCA
12600231,IGF1
12607837,NTRK1
12610175,HGF
12610178,REST
12611463,ESR1
12611463,ARID1A
12612654,FH
12612654,SDHB
12613514,BCR
12613514,ABL1
12614767,BCR
12617866,BCR
12617866,KMT2A
12617866,ABL1
12617866,ETV6
12618518,PGR
12618518,BCR
12618762,VEGFA
12618768,KMT2A
12619547,EGFR
12620411,KMT2A
12620411,FLT1
12620909,DNMT1
12620973,NR4A3
12620973,ACTG1
12620973,PTEN
12622420,BRCA1/2
12626761,CTLA4
12627512,BCR
12627512,ABL1
12627512,CTLA4
12630584,DNMT1
12631591,CTLA4
12631595,BCR
12631609,EGFR
12631619,NFKBIA
12631622,ACTG1
12632088,IGF1
12632491,AR
12632866,CTLA4
12637317,BCR
12637317,ABL1
12637319,KMT2A
12637319,MYC
12637330,FANCD2
12637330,FANCC
12637330,FANCA
12637470,BCR
12637475,PGR
12637609,BCR
12637609,ABL1
12637609,MET
12640659,DNMT1
12642688,REST
12643011,RTEL1
12647989,EGFR
12648505,MET
12648512,CTLA4
12649137,XIAP
12649137,FANCA
12649137,CASP8
12649137,CTLA4
12649137,FH
12649163,VEGFA
12649163,KIT
12649163,FLT1
12649163,KDR
12649201,EIF4E
12653584,CTLA4
12653603,CTLA4
12653603,CD79A
12654424,MST1R
12655515,BRCA1/2
12655529,DNMT1
12655533,PGR
12655533,FANCC
12655538,FLT1
12656749,CTLA4
12661266,CYP19A1
12663443,XIAP
12663713,RIT1
12663713,CTLA4
12663713,RTEL1
12664018,NR4A3
12667330,RTEL1
12670915,RB1
12670915,MYCN
12673114,CALR
12673114,ACTG1
12673177,ESR1
12679309,DNMT1
12679797,NR4A3
12679797,HLA-C
12680157,IGF1
12681367,VEGFA
12681367,BCR
12682262,ERBB2
12682262,CTLA4
12682262,HLA-C
12683352,VEGFA
12683352,SOS1
12683352,HGF
12684059,VEGFA
12684123,NR4A3
12684428,CTLA4
12684428,HLA-C
12686527,RET
12686527,NTRK1
12686821,MET
12687015,PTEN
12689927,RARA
12689927,FLT1
12689928,CTLA4
12689928,FH
12689928,CASP8
12691141,BCR
12691141,NR4A3
12691152,BRCA1/2
12691914,DNMT1
12692539,FANCC
12692539,FANCD2
12692539,FANCA
12692539,BRCA1/2
12692781,AR
12694251,CTLA4
12695855,MAX
12697868,XIAP
12697868,CTLA4
12697868,FH
12697873,AR
12697938,MET
12697941,DNMT1
12700121,ESR1
12701946,HGF
12702569,XIAP
12702569,FOXO1
12702569,AKT1
12702569,SDHA
12702569,ATM
12702569,FH
12707374,FLT1
12707957,BRCA1/2
12711357,PGR
12711357,ESR1
12712459,APC
12712475,BCR
12712475,NR4A3
12712476,BCR
12713992,HGF
12714489,CTLA4
12714820,BCR
12719541,MYC
12719541,MITF
12719705,DNMT1
12720118,ARID1A
12720119,ARID1A
12720120,ARID1A
12720121,ARID1A
12720122,CTLA4
12720122,RUNX1T1
12720140,PGR
12720146,CTLA4
12720154,CTLA4
12720162,FAT1
12721254,EGFR
12721254,MST1
12721254,MITF
12721264,REST
12721762,RB1
12724127,CTLA4
12727828,BCR
12727828,ABL1
12727828,FH
12727828,AKT1
12727831,AKT1
12730115,BCR
12730115,KMT2A
12730115,ABL1
12730115,ETV6
12734316,RB1
12734316,YY1
12734316,PRKAR1A
12734366,NR4A3
12734366,HLA-C
12735513,BCR
12736005,U2AF1
12738674,XIAP
12738674,FH
12738674,AKT1
12738716,APC
12738723,PRKAR1A
12743152,EGFR
12743604,EGFR
12743604,PTEN
12743604,AKT1
12747743,CTLA4
12747743,HLA-C
12747745,CDKN2A
12750267,CTLA4
12750278,CTLA4
12750280,CTLA4
12750280,RUNX1T1
12750298,FANCD2
12750298,FANCA
12750298,BRCA1/2
12752100,CTLA4
12755554,BCR
12755554,ABL1
12755554,KIT
12756079,ACTG1
12759344,EIF4E
12759523,CYP19A1
12759538,ERBB2
12763937,PGR
12763937,BCR
12763937,CTLA4
12766881,PGR
12766883,DNMT1
12767065,ERBB2
12767065,KIT
12767083,ESR1
12767083,FANCC
12767088,BCR
12767088,NR4A3
12767088,KIT
12767088,ABL1
12767098,FH
12767098,FOXP1
12767099,NR4A3
12767107,MAX
12767520,IGF1
12767520,ACTG1
12773015,DNMT1
12775737,DDIT3
12775739,BCR
12776192,PPARG
12781070,CTLA4
12781070,KIT
12782577,MTOR
12782577,PTEN
12782577,AKT1
12782589,CTLA4
12782589,HLA-C
12782592,RET
12782592,PTEN
12783251,DNMT1
12783251,FAT1
12783368,BCR
12783368,ABL1
12783584,KIT
12784336,BCR
12786794,CTLA4
12786796,CTLA4
12789294,NR4A3
12789294,CTLA4
12791647,PGR
12791647,BCR
12794017,SDHB
12794246,PGR
12794251,YY1
12796048,FAT1
12796356,KIT
12796369,REST
12796371,CTLA4
12796375,MTAP
12796375,DNMT1
12796382,CTLA4
12796648,ESR1
12798705,SDHB
12798709,HGF
12799536,AKT1
12800194,MST1
12802281,KIT
12804042,RIT1
12804042,CTLA4
12804042,RTEL1
12804634,CTLA4
12804643,FANCA
12804644,RTEL1
12804712,RASA1
12805059,YY1
12805330,MET
12805336,NR4A3
12805336,CTLA4
12806276,CTLA4
12808098,RARA
12808098,SRC
12810677,VEGFA
12810677,KDR
12810690,CTLA4
12813444,CTLA4
12813444,ACTG1
12813449,CTLA4
12815002,FAT1
12816858,NPM1
12816858,CTLA4
12816858,RTEL1
12816858,ALK
12817431,BCR
12817431,ABL1
12818222,AKT1
12818292,PTEN
12819038,BRAF
12819038,MITF
12821343,PGR
12821343,ESR1
12827298,PGR
12829664,DDIT3
12832444,CTLA4
12833466,DNMT1
12833466,AR
12833555,BRCA1/2
12837430,CALR
12839953,XIAP
12839953,CALR
12839953,YY1
12839953,CTLA4
12839953,FH
12840208,IGF1
12840208,AKT1
12840799,EGFR
12841847,BRCA1/2
12843231,ERBB2
12843797,CTLA4
12844284,PTEN
12844284,AKT1
12846423,PGR
12846423,ESR1
12846423,PPARG
12850460,RET
12850460,NTRK1
12850524,ACTG1
12850526,VEGFA
12851475,BRCA1/2
12851475,FANCA
12852497,CTLA4
12853579,CTLA4
12853775,DNMT1
12854905,RELN
12854905,NR4A3
12854905,RTEL1
12855612,ESR1
12855616,EGFR
12855635,IGF1
12855635,DNMT1
12855660,CTLA4
12855660,PPARG
12860943,AR
12865454,FAT1
12866040,RTEL1
12867062,KIT
12867070,EGFR
12869408,AKT1
12869565,SRC
12869565,PTEN
12869565,AKT1
12871777,CTLA4
12871777,YY1
12872350,CTLA4
12872350,KIT
12874027,FANCD2
12874027,MEN1
12874030,VEGFA
12874269,ARID1A
12874510,GATA3
12876205,ERBB2
12877645,RARA
12877645,CTLA4
12879469,BCR
12880970,MYCN
12881308,NR4A3
12881316,CD79A
12883733,PGR
12883733,CTLA4
12883733,RTEL1
12884908,MET
12884908,SOS1
12884908,HGF
12884909,IGF1
12885348,CTLA4
12890536,EGFR
12890841,VHL
12890841,MET
12892803,DNMT1
12893761,CTLA4
12893773,BCR
12893773,CALR
12893773,CTLA4
12893773,ABL1
12895386,ESR1
12895386,CTLA4
12897328,ERBB2
12901946,ESR1
12901962,DNMT1
12902478,BCR
12902478,ABL1
12902478,CTLA4
12902478,HLA-C
12902523,ERBB2
12902523,CTLA4
12902539,ACTG1
12902856,DNMT1
12902874,ESR1
12902874,CYP19A1
12902881,RTEL1
12902911,REST
12904896,GNAS
12907143,PTEN
12907143,APC
12907143,AKT1
12907629,ESR1
12907629,MYCN
12908554,BCR
12908554,ABL1
12908554,FLT1
12909239,INSR
12909723,YY1
12910520,ABL1
12910520,KIT
12910522,PGR
12910529,NR4A3
12912971,EGFR
12916459,ESR1
12917640,ALK
12917817,ERCC2
12920034,AKT1
12921254,REST
12921945,BCR
12925241,MET
12926079,RTEL1
12927029,CYP19A1
12927029,ACTG1
12928369,ERBB2
12928369,CTLA4
12930317,CTLA4
12930384,MSH3
12935960,CTLA4
12935960,FLT1
12935968,CTLA4
12935973,BCR
12935973,ABL1
12938083,PTEN
12938083,AKT1
12939459,KIT
12939459,AKT1
12939470,AR
12939717,CTLA4
12939719,CTLA4
12941814,ACTG1
12941814,AR
12941838,ERBB2
12942553,BCR
12942553,ABL1
12942555,NR4A3
12943608,DDIT3
12946797,ERBB2
12947072,REST
12947393,EGFR
12947393,PTEN
12947393,AKT1
12948860,ACTG1
12949842,ALB
12949896,RTEL1
12950231,ATM
12952223,CTLA4
12952223,RTEL1
12952223,SDHB
12952296,CTLA4
12952298,CTLA4
12952298,HLA-C
12952564,MSH2
