pmid,tsne1,tsne2
11930874,12.454448,-32.134384
11932470,59.56659,-14.079797
11932905,-29.219688,-42.8018
11932906,-30.572569,-36.603287
11932907,42.63127,13.325603
11932911,11.832024,40.71805
11932912,47.23711,-28.889389
11933076,-42.478374,40.801918
11934346,16.231668,-39.091267
11937011,8.757256,-32.197636
11937012,3.0135746,-30.739769
11937431,41.552864,35.823353
11939869,53.41668,-31.398623
11942045,-3.6346686,-13.368972
11942410,-34.641685,7.2788754
11943706,50.558094,15.75982
11948101,-50.664627,19.719053
11948141,-51.452114,34.568455
11948274,39.626984,-12.611644
11948493,21.909485,40.284756
11948567,18.50091,16.211882
11951208,11.178551,-29.051365
11952243,29.353075,-3.998896
11955607,67.16694,-1.1349723
11955624,-33.415794,51.98564
11955651,-40.030888,-28.513464
11955727,-32.340366,-21.371494
11955738,7.759422,5.3651943
11955742,18.128521,1.1404338
11956072,-8.744794,43.735348
11956076,-49.430664,34.836063
11956257,40.941124,3.56363
11956260,-26.53348,-51.48971
11956261,19.896803,11.809875
11956266,32.90857,16.070269
11956267,-32.96537,3.487818
11956269,58.610867,13.084768
11956271,39.17601,5.8871717
11956279,-58.56516,-21.224735
11956426,-25.639385,5.319789
11956645,27.078176,50.201576
11957149,16.222448,44.056282
11958890,19.210386,2.1190329
11958896,11.444284,1.8727238
11960379,-44.741222,43.682995
11960384,-49.208256,34.005558
11961058,-50.474438,25.123642
11961199,35.22046,-51.81681
11961204,-13.722186,-37.921562
11964319,-46.969036,33.916843
11965231,-30.755886,-7.0370955
11965234,-21.357943,-3.9260256
11966385,55.23281,-10.765925
11967901,45.51076,5.237483
11968000,-52.286224,6.547855
11968084,26.988789,41.098152
11970761,-27.913599,-33.782055
11970763,-3.6775079,-49.87303
11970766,-21.52938,-31.443117
11970966,-25.43637,9.570456
11971195,-41.83135,43.63796
11972090,5.332751,-0.72589487
11972091,-41.884377,-36.15911
11972094,44.97202,10.861663
11972400,40.53706,-23.96555
11972406,62.55005,-3.3334346
11975672,28.07174,-19.442854
11975947,62.933968,-4.1556396
11975969,63.319817,-4.351401
11976731,-7.89869,9.007994
11976831,-53.77818,-14.442046
11979419,-3.9258096,-30.390432
11979552,-5.747163,6.4932866
11980673,-11.465037,50.3831
11980999,-28.277132,-47.989727
11981001,-3.8780618,1.5734178
11981003,-41.30597,35.9681
11981010,50.078068,-3.0154293
11981011,41.27175,9.145083
11981210,21.833704,41.561806
11981219,34.454903,-2.3480809
11981269,-1.2603198,-24.728712
11981275,9.493903,-49.254887
11981281,7.8831882,-35.725246
11983866,-31.451612,1.0636774
11986023,30.680244,-5.7008915
11986185,30.588915,8.898383
11986192,28.255138,-0.32557485
11986195,-28.803423,5.778257
11986204,-47.720333,12.254607
11986206,-47.854156,12.637627
11986230,-4.8540115,6.2797184
11986232,-33.53754,5.854146
11986238,-47.908527,19.672052
11986403,23.404844,40.930817
11988246,33.953545,34.985394
11988408,51.3251,28.40156
